ID,Name,Street,City,State,ZIP,Phone,Website,Google Place ID,Google Data Updated At,Failure Reason
43,A Whale of a Tale Children's Bookshoppe,24 Sagitta Way,Coto de Caza,CA,92679,(949) 854-8288,http://www.awhaleofatale.com/,,,Could not find Google Place ID - bookshop may not exist in Google Places database
170,Babycake's Book Stack,,St. Paul,MN,55102,651-321-3436,https://www.facebook.com/BabycakesBookStack/,,,Could not find Google Place ID - bookshop may not exist in Google Places database
205,Barn Owl Books (CA),527 Main Street,Quincy,CA,95971,,https://bookshop.org/shop/barnowlbooks,,,Could not find Google Place ID - bookshop may not exist in Google Places database
236,Beck's Books,,Minneapolis,MN,55408,612-424-8040,https://www.becksbooksmpls.com,,,Could not find Google Place ID - bookshop may not exist in Google Places database
267,Bev & Her Books LLC,,Wynnewood,PA,19096,610.983.8031,https://www.bevandherbooks.com,,,Could not find Google Place ID - bookshop may not exist in Google Places database
269,Beyond This February,,Cowpens,SC,29330,864-485-9896,https://www.facebook.com/beyondthisfeb/,,,Could not find Google Place ID - bookshop may not exist in Google Places database
384,BOOK CLUB On the Go,,East Windsor Hill,CT,06028,860-265-6077,https://www.bookclubct.com/,,,Could not find Google Place ID - bookshop may not exist in Google Places database
412,Book RePort,,Port Washington,NY,11050,,https://www.instagram.com/bookreportny/,,,Could not find Google Place ID - bookshop may not exist in Google Places database
546,Brainstorm Books,43 S. Main Street,Mullica Hill,NJ,08062,,https://www.facebook.com/BrainstormBooksNJ,,,Could not find Google Place ID - bookshop may not exist in Google Places database
626,Butterbean Books,,Suffolk,VA,23434,,https://butterbeanbooksva.com/,,,Could not find Google Place ID - bookshop may not exist in Google Places database
646,Cafe Noir Bookshop,,Rock Island,IL,61201,,https://www.cafenoirbookshop.com,,,Could not find Google Place ID - bookshop may not exist in Google Places database
770,Compass Collective,,Gainsville,FL,32608,,https://linktr.ee/compass.collective,,,Could not find Google Place ID - bookshop may not exist in Google Places database
792,Cotton & Lime Bookshop,,Montclair,VA,22025,,https://www.instagram.com/cotton.and.lime,,,Could not find Google Place ID - bookshop may not exist in Google Places database
810,Culinarian Bookshop,PO Box 7024,Cotati,CA,94931,707-401-0462,https://www.culinarianbookshop.com,,,Could not find Google Place ID - bookshop may not exist in Google Places database
818,Curiosity Bookstore (NC),,Spindale,NC,28160,828-800-8002,https://curiositybookstore.com,,,Could not find Google Place ID - bookshop may not exist in Google Places database
842,Death By TBR Books,,Bremerton,WA,98311,,https://booksaroundthecorner.com/,,,Could not find Google Place ID - bookshop may not exist in Google Places database
891,Duende District,1380 Monroe St NW Unit 422,Washington,DC,20010,,https://www.duendedistrict.com/,,,Could not find Google Place ID - bookshop may not exist in Google Places database
911,Eden Books,252 N Main St. #1301,Newberry,FL,32669,(352) 474-9176,https://edenbookstore.com,,,Could not find Google Place ID - bookshop may not exist in Google Places database
932,Enchanted Evermore LLC,21422 Grape Lily Cir #102,Newhall,CA,91321,818-280-9334,http://www.enchantedevermore.online,,,Could not find Google Place ID - bookshop may not exist in Google Places database
936,Endless Pages Book Haven,,Welch,MN,55089,,https://www.endlesspagesbookhaven.com,,,Could not find Google Place ID - bookshop may not exist in Google Places database
1109,Grinning Cat Books,,Potomac,MD,20854,301-537-3783,https://www.grinningcatbooks.com,,,Could not find Google Place ID - bookshop may not exist in Google Places database
1261,Helianthus Books,2101 W 144th St,Leawood,KS,66224,7632450591,https://www.helianthusbooks.com/,,,Could not find Google Place ID - bookshop may not exist in Google Places database
1282,Hill & Hollow Books,,Souderton,PA,18964,,https://www.hillandhollowbooks.com,,,Could not find Google Place ID - bookshop may not exist in Google Places database
1345,Hygge House Books,21 East Main Street,Westborough,MA,01581,7816080027,https://hyggehousebooks.square.site/,,,Could not find Google Place ID - bookshop may not exist in Google Places database
1388,Inscriptions Books,123 Main Street,Arnold,MO,63010,636-633-7846,http://www.inscriptionsbooks.com,,,Could not find Google Place ID - bookshop may not exist in Google Places database
1453,Kifani Press | Kifani Works,555 S. B.B. King Blvd,Memphis,TN,38101,(901) 310-5860,https://www.kifanipress.com,,,Could not find Google Place ID - bookshop may not exist in Google Places database
1458,Kinfolk Book Store,,Rising Sun,IN,47040,,https://www.kinfolkbookstore.com/,,,Could not find Google Place ID - bookshop may not exist in Google Places database
1507,Lemolo Books,17194 Lemolo Shore Dr NE,Poulsbo,WA,98337,,https://lemolobooks.com/,,,Could not find Google Place ID - bookshop may not exist in Google Places database
1516,Liberation is Lit,,Columbia,SC,29209,803-814-6280,https://liberationislit.com/,,,Could not find Google Place ID - bookshop may not exist in Google Places database
1582,"Love in Print, LLC",,Van Nuys,CA,91405,,https://loveinprintbooks.com,,,Could not find Google Place ID - bookshop may not exist in Google Places database
1645,Marble City Books,,GOUVERNEUR,NY,13642,,https://twitter.com/booksmarble,,,Could not find Google Place ID - bookshop may not exist in Google Places database
1687,MiJa Books,,Lakewood,CA,90713,888-801-6452,https://www.mijabooks.com,,,Could not find Google Place ID - bookshop may not exist in Google Places database
1731,Ms Libritos Bookstore,,Springdale,AR,72764,417-499-6120,https://mas-libritos-bookstore.square.site/.,,,Could not find Google Place ID - bookshop may not exist in Google Places database
1765,Netherworld Books,3407 Lowden St.,Kalamazoo,MI,49008,,http://netherworldbooks.net,,,Could not find Google Place ID - bookshop may not exist in Google Places database
1789,Nine People's Provisions,,Cincinnati,OH,45223,,https://www.ninepeoplesprovisions.com,,,Could not find Google Place ID - bookshop may not exist in Google Places database
1792,Noire Reading Room,383 West Avenue,Rochester,NY,14611,585-466-4733,https://noirereadingroom.com/,,,Could not find Google Place ID - bookshop may not exist in Google Places database
1818,Now in Books,PO Box 211,Bronx,NY,10458,,https://www.nowinbooks.com/,,,Could not find Google Place ID - bookshop may not exist in Google Places database
1896,Pages & Paws Bookshop,,Marshfield,MA,02050,,https://www.pagesandpawsbookshop.com,,,Could not find Google Place ID - bookshop may not exist in Google Places database
1984,Planting People Growing Justice Press and Bookstore,"1654 Sherburne Ave, Suite 200",Saint Paul,MN,55104,,https://squareup.com/store/planting-people-growing-justice-leadership-institute,,,Could not find Google Place ID - bookshop may not exist in Google Places database
2018,Postmarked from the Stars,1501 E Fifth Street,Dayton,OH,45403,9378538699,https://postmarkedfromthestars.com/,,,Could not find Google Place ID - bookshop may not exist in Google Places database
2045,Pyramid Books,119 NW 5TH AVE,Boynton Beach,FL,33435,(561) 731-4422,https://pyramidbooks.indielite.org,,,Could not find Google Place ID - bookshop may not exist in Google Places database
2062,Rail District Books,,Frisco,TX,75034,,http://friscobooksellers.com,,,Could not find Google Place ID - bookshop may not exist in Google Places database
2078,Read Books,1776 Princess Anne Rd,Virginia Beach,VA,23456,(757)708-4932,https://www.instagram.com/readbooksvb/,,,Could not find Google Place ID - bookshop may not exist in Google Places database
2082,Read My Lips Boston (MA),,Malden,MA,02148,,https://read-my-lips-boston.square.site/,,,Could not find Google Place ID - bookshop may not exist in Google Places database
2086,Read With Moxie,,Woody Creek,CO,81656,,https://www.instagram.com/read.with.moxie/,,,Could not find Google Place ID - bookshop may not exist in Google Places database
2106,Red Rice Books,,Charlotte,NC,28269,706-801-7043,https://rrbbookstore.com/,,,Could not find Google Place ID - bookshop may not exist in Google Places database
2156,Roaming Romance Boutique Bookshop,76 3rd St,Ronkonkoma,NY,11779,,https://roamingromancebooks.com/,,,Could not find Google Place ID - bookshop may not exist in Google Places database
2250,Shelf Life Book Shop,,Barbourville,KY,40906,,https://shelflifebook.shop,,,Could not find Google Place ID - bookshop may not exist in Google Places database
2300,Soa Co. Books,,Houston,TX,77063,,https://www.soacobooks.com/,,,Could not find Google Place ID - bookshop may not exist in Google Places database
2301,Socialight Society,5454 W. Saginaw Hwy. Suite 425,Lansing,MI,48917,517-243-4357,https://www.socialightsociety.com/,,,Could not find Google Place ID - bookshop may not exist in Google Places database
2333,Sscarlet's Web Bookstore,,Brooklyn,NY,11212,3472497714,https://sscarletsweb.com/,,,Could not find Google Place ID - bookshop may not exist in Google Places database
2345,"Starry Ferry Books, LLC",,Santa Clara,CA,95054,408-582-0373,https://www.starryferrybooks.com,,,Could not find Google Place ID - bookshop may not exist in Google Places database
2461,The Book Bin (AL),2415 B Avalon Avenue,Muscle Shoals,AL,35661,,https://www.facebook.com/profile.php?id=61554944588745&mibextid=LQQJ4d,,,Could not find Google Place ID - bookshop may not exist in Google Places database
2544,The BookHouse (IA),,Cedar Rapids,IA,52402,319-804-9805,https://www.theiowabookhouse.com/,,,Could not find Google Place ID - bookshop may not exist in Google Places database
2604,The Crowded Bookshelf,204 Mae St,Fort Collins,CO,80525,(970) 573-6649,https://www.thecrowdedbookshelf.com/,,,Could not find Google Place ID - bookshop may not exist in Google Places database
2607,The CuriosiTea Bookshop,,Fairview,UT,84629,4353149691,http://curiositeabookshop.com,,,Could not find Google Place ID - bookshop may not exist in Google Places database
2616,The Dragon Wagon,,DeLancey,NY,13752,,https://dragonwagonbookbus.com/,,,Could not find Google Place ID - bookshop may not exist in Google Places database
2624,The Faun & The Fairy Bookstore,123 Main Street,Gilbert,AZ,85298,,,,,Could not find Google Place ID - bookshop may not exist in Google Places database
2666,The Key Bookstore,1429 Park St Suite 214,Hartford,CT,06106,(860) 341-2865,https://keybookstore.com/,,,Could not find Google Place ID - bookshop may not exist in Google Places database
2739,The Owl Books & Brew,7632 Belleview Ave,Kansas City,MO,64114,(320) 859-4010,https://www.facebook.com/theowlbookstore/,,,Could not find Google Place ID - bookshop may not exist in Google Places database
2774,The Romance Era Bookshop,608 N. Devine Road,Vancouver,WA,98661,360) 553-1132,https://www.theromanceerabooks.com,,,Could not find Google Place ID - bookshop may not exist in Google Places database
2830,The Word Cellar Bookstore,,Hilliard,FL,32046,904-627-4473,https://www.wordcellarbookstore.com/,,,Could not find Google Place ID - bookshop may not exist in Google Places database
2861,Three Wishes Bookshop,,Alexandria,VA,22315,,https://www.ThreeWishesBookshop.com,,,Could not find Google Place ID - bookshop may not exist in Google Places database
2862,ThriftBooks,18300 Cascade Ave S Ste 150,Seattle,WA,98188,,http://www.thriftbooks.com,,,Could not find Google Place ID - bookshop may not exist in Google Places database
2877,Tolerbooks,,Allen,TX,75013,469-654-7323,https://www.tolerbooks.com,,,Could not find Google Place ID - bookshop may not exist in Google Places database
3009,Wandering Words,,Arnold,MD,21012,609-502-8365,https://www.instagram.com/wanderingwordsmd,,,Could not find Google Place ID - bookshop may not exist in Google Places database
3123,Yours Truly Bookshop,144 Castle Pines Drive,Bonaire,GA,31005,,https://www.yourstrulybookshop.com,,,Could not find Google Place ID - bookshop may not exist in Google Places database